movieId,title,genres,imdbId,tmdbId,Release Date,Rate,Total Votes
1.0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,1995.0,3.8937077945872383,57309.0
2.0,Jumanji,Adventure|Children|Fantasy,113497,8844.0,1995.0,3.2515271586594023,24228.0
3.0,Grumpier Old Men,Comedy|Romance,113228,15602.0,1995.0,3.142028126058963,11804.0
4.0,Waiting to Exhale,Comedy|Drama|Romance,114885,31357.0,1995.0,2.85354736424891,2523.0
5.0,Father of the Bride Part II,Comedy,113041,11862.0,1995.0,3.0584343520573682,11714.0
6.0,Heat,Action|Crime|Thriller,113277,949.0,1995.0,3.854908898649748,24588.0
7.0,Sabrina,Comedy|Romance,114319,11860.0,1995.0,3.3636663369601054,12132.0
8.0,Tom and Huck,Adventure|Children,112302,45325.0,1995.0,3.114583333333333,1344.0
9.0,Sudden Death,Action,114576,9091.0,1995.0,2.9920506601994066,3711.0
10.0,GoldenEye,Action|Adventure|Thriller,113189,710.0,1995.0,3.42145763311516,28265.0
11.0,"American President, The",Comedy|Drama|Romance,112346,9087.0,1995.0,3.6571705198920315,17042.0
12.0,Dracula: Dead and Loving It,Comedy|Horror,112896,12110.0,1995.0,2.6245656241646618,3741.0
13.0,Balto,Adventure|Animation|Children,112453,21032.0,1995.0,3.333527696793003,1715.0
14.0,Nixon,Drama,113987,10858.0,1995.0,3.4234888364494465,5509.0
15.0,Cutthroat Island,Action|Adventure|Romance,112760,1408.0,1995.0,2.7190217391304348,2760.0
16.0,Casino,Crime|Drama,112641,524.0,1995.0,3.8237068028689416,18404.0
17.0,Sense and Sensibility,Drama|Romance,114388,4584.0,1995.0,3.948806325713417,19729.0
18.0,Four Rooms,Comedy,113101,5.0,1995.0,3.3843505768515074,5374.0
19.0,Ace Ventura: When Nature Calls,Comedy,112281,9273.0,1995.0,2.6421677802524126,21552.0
20.0,Money Train,Action|Comedy|Crime|Drama|Thriller,113845,11517.0,1995.0,2.869921875,3840.0
21.0,Get Shorty,Comedy|Crime|Thriller,113161,8012.0,1995.0,3.5701620505454046,22277.0
22.0,Copycat,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,1995.0,3.3200173216412256,9237.0
23.0,Assassins,Action|Crime|Thriller,112401,9691.0,1995.0,3.145691333982473,4108.0
24.0,Powder,Drama|Sci-Fi,114168,12665.0,1995.0,3.1875838926174502,7450.0
25.0,Leaving Las Vegas,Drama|Romance,113627,451.0,1995.0,3.6773044344793218,20070.0
26.0,Othello,Drama,114057,16420.0,1995.0,3.606708513142409,2549.0
27.0,Now and Then,Children|Drama,114011,9263.0,1995.0,3.4039315155358274,1577.0
28.0,Persuasion,Drama|Romance,114117,17015.0,1995.0,4.03,2950.0
29.0,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,1995.0,3.9367248645394337,8305.0
30.0,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,115012,37557.0,1995.0,3.6367924528301887,1166.0
31.0,Dangerous Minds,Drama,112792,9909.0,1995.0,3.2448385679771583,9106.0
32.0,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,114746,63.0,1995.0,3.9057678412037236,47054.0
34.0,Babe,Children|Drama,112431,9598.0,1995.0,3.6031917599186163,31456.0
35.0,Carrington,Drama|Romance,112637,47018.0,1995.0,3.4792899408284024,1352.0
36.0,Dead Man Walking,Crime|Drama,112818,687.0,1995.0,3.91868681658758,19388.0
38.0,It Takes Two,Children|Comedy,113442,33689.0,1995.0,2.8708399366085584,631.0
39.0,Clueless,Comedy|Romance,112697,9603.0,1995.0,3.4187380861608845,26230.0
40.0,"Cry, the Beloved Country",Drama,112749,34615.0,1995.0,3.6267252195734,797.0
41.0,Richard III,Drama|War,114279,31174.0,1995.0,3.843413033286451,4266.0
42.0,Dead Presidents,Action|Crime|Drama,112819,11443.0,1995.0,3.0495652173913044,2300.0
43.0,Restoration,Drama,114272,35196.0,1995.0,3.4499566724436743,2308.0
44.0,Mortal Kombat,Action|Adventure|Fantasy,113855,9312.0,1995.0,2.6546241414996707,10629.0
